samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
4,2,634100,12200,0.916364
5,2,801800,15300,0.934545
6,2,959900,18100,0.927273
7,2,1106800,21100,0.938182
8,2,1329100,29500,0.927273
1,3,182100,3500,0.989091
2,3,366500,6500,0.992727
3,3,535100,9600,1
4,3,1847200,28200,1
5,3,886400,15700,1
6,3,1060700,18900,0.996364
7,3,1247400,21900,1
8,3,1453500,25200,1
1,4,219900,3400,0.996364
2,4,438700,6600,0.996364
3,4,1719600,15900,0.996364
4,4,864600,12900,1
5,4,1079100,16100,1
6,4,1289900,18900,1
7,4,3957300,35400,1
8,4,4385600,52300,1
1,1,151100,2800,0.836364
2,1,279100,5400,0.872727
3,1,417200,8100,0.861818
4,1,568500,10700,0.869091
5,1,699900,13300,0.850909
6,1,836100,16100,0.861818
7,1,985100,18900,0.861818
8,1,1110200,21300,0.861818
1,2,162200,3300,0.916364
2,2,853800,11800,0.916364
3,2,1334000,17000,0.92
4,2,1734900,15200,0.916364
5,2,814400,15300,0.934545
6,2,2350400,20600,0.927273
7,2,1825600,25500,0.938182
8,2,1284200,24600,0.927273
1,3,256700,8000,0.989091
2,3,359600,6900,0.992727
3,3,540900,9700,1
4,3,742600,16300,1
5,3,1089900,16100,1
6,3,2805200,33900,0.996364
7,3,3060600,64800,1
8,3,1578000,25300,1
1,4,221600,3600,0.996364
2,4,434000,6600,0.996364
3,4,650300,9400,0.996364
4,4,876200,13000,1
5,4,1091300,15900,1
6,4,1295000,19500,1
7,4,1501400,22100,1
8,4,1943900,24900,1
1,1,140600,2700,0.836364
2,1,280100,5400,0.872727
